Message,Target
"bug never show give 4 sure , but wall bug climb kitchen .",0
"10 minute , wait salad realize come time soon .",0
friend love salmon tartar .,1
will .,0
extremely Tasty !,1
Waitress good !,1
soggy not good .,0
jamaican mojito delicious .,1
small not worth price .,0
# ?,1
"shower area outside only rinse , not shower , mind nude !",0
service bit lacking .,0
"Lobster Bisque , Bussell Sprouts , Risotto , Filet need salt pepper .. course table .",0
hopefully bode go business cook come .,0
"cold , not flavor bad .",0
love bacon wrap date .,1
unbelievable bargain !,1
folk Otto feel welcome special .,1
""" main , "" uninspired .",0
place pho amazing ! !,1
wonderful experience place - stop town .,1
"food bad , enjoy deal world bad / annoying drunk people .",0
fun chef .,1
"order double cheeseburger & get single patty fall apart ( picture upload ) yeah , suck .",0
great place couple drink watch sporting event wall cover tv .,1
"possible zero star , .",0
"description say "" yum yum sauce "" say "" eel sauce "" , say "" spicy mayo"" ... roll sauce .",0
"hard decision ... honestly , M dish taste suppose taste ( amazing ) .",1
not roll eye stay ... not sure try .,0
"attentive , provide excellent customer service .",1
horrible - waste time money .,0
dish flavourful .,1
time restaurant no excuse .,0
"( busy ) , building freeze cold .",0
"like reviewer say "" pay eat place . """,0
-drink take close 30 minute come point .,0
"seriously flavorful delight , folk .",1
well AYCE sushi place go Vegas .,1
lighting dark set mood .,1
base sub - par service receive no effort gratitude business will go .,0
Owner great people . !,1
privileged work / eat .,0
Greek dressing creamy flavorful .,1
"overall , think parent place similar complaint silently feel .",0
pizza good peanut sauce tasty .,1
7 table service pretty fast .,1
fantastic service .,1
give godfather zero star possible .,0
know .,1
tough short flavor !,0
hope place stick .,1
"bar Vegas , not recall charge tap water .",0
restaurant atmosphere exquisite .,1
"good service , clean , inexpensive , boot !",1
seafood fresh generous portion .,1
"plus , only 8 buck .",1
"service not par , .",0
"far , only visit twice food absolutely delicious time .",1
good year ago !,1
"self proclaim coffee cafe , wildly disappointed .",0
veggitarian platter world !,1
not wrong food .,1
beat .,1
"stop place Madison Ironman , friendly , kind staff .",1
chef friendly good job .,1
"well , not only dedicated boba tea spot , but Jenni Pho .",0
like patio service outstanding .,1
goat taco skimp meat wow FLAVOR !,1
think not,0
mac salad pretty bland not get .,0
go Bachi Burger friend recommendation not disappoint .,1
service stink !,0
wait wait .,0
"place not quality sushi , not quality restaurant .",0
definitely recommend wing pizza .,1
Great Pizza salad !,1
thing go wrong : - burn saganaki .,0
wait hour breakfast 100 time well home .,0
place amazing !,1
"hate disagree fellow yelper , but husband disappointed place .",0
wait 2 hour & never get pizza come later !,0
know slow .,0
"staff great , food delish , incredible beer selection .",1
"live neighborhood disappoint will , convenient location .",0
know pull pork soooo delicious .,1
"incredibly fresh fish , prepare care .",1
give 1 star rating know time eat Bachi burger write review .,0
love fact menu worth .,1
never dine place !,0
food excellent service good .,1
good beer & drink selection good food selection .,1
stay away shrimp stir fried noodle .,0
potato chip order sad ... probably count chip box probably 12 .,0
food boring .,0
Good Service - check !,1
greedy corporation never dime !,0
"never , .",0
"like , pass atrocious service never return .",0
"summer , dine charming outdoor patio - delightful .",1
not expect good !,1
fantastic food !,1
order toast English muffin come untoasted .,0
food good .,1
never go .,0
"great food price , high quality house .",1
bus boy hand rude .,0
"point , friend basically figure place joke mind make publicly loudly known .",0
"good BBQ , light fare , reasonable pricing tell public old way .",1
"consider leave happy $ 20 , wrong .",1
bread - house !,1
only downside service .,0
", fry doubt bad fry .",0
service exceptional food good review .,1
"couple month later , return amazing meal .",1
favorite place town shawarrrrrrma ! ! ! ! ! !,1
black eyed pea sweet potato ... UNREAL !,1
will disappoint .,1
"serve vinaigrette well overall dish , but good .",1
"far place never see restaurant serve 1 egg breakfast , especially $ 4.00 .",0
mom get home immediately get sick only bite salad .,0
server not pleasant deal honor Pizza Hut coupon .,0
"truly unbelievably good , glad go .",1
"fantastic service , please atmosphere .",1
gross .,0
love place .,1
great service food .,1
- bathroom location dirty- seat cover not replenish & plain yucky ! ! !,0
"burger ... get "" Gold Standard "" $ 17 burger kind disappointed .",0
"OMG , food delicioso !",1
authentic place .,0
spaghetti special whatsoever .,0
"dish , salmon good , but great .",1
vegetable fresh sauce feel like authentic Thai .,1
worth drive Tucson !,1
selection probably bad see Vegas ..... .,0
pretty good beer selection .,1
"place like Chipotle , but BETTER .",1
"classy / warm atmosphere , fun fresh appetizer , succulent steak ( baseball steak ! ! ! ! !",1
5 star brick oven bread app !,1
"eat multiple time , time food delicious .",1
sit minute finally give leave .,0
terrible !,0
treat equally special .,1
30 min pancake egg .,0
delicious ! ! !,1
"good , staff genuinely pleasant enthusiastic - real treat .",1
"sadly , Gordon Ramsey Steak place shall sharply avoid trip Vegas .",0
evening wonderful food delicious !,1
good fish life !,1
( bathroom door nice . ),1
buffet small food offer bland .,0
outstanding little restaurant Best Food taste .,1
pretty cool .,1
definitely turn & doubt buy .,0
Server great job handle large rowdy table .,1
"find waste food despicable , but food .",0
wife Lobster Bisque soup lukewarm .,0
come sushi craving Vegas .,1
"staff great , ambiance great .",1
deserve 5 star .,1
leave stomach ache feel sick rest day .,0
drop ball .,0
"dining space tiny , but elegantly decorate comfortable .",1
"customize order way like , usual Eggplant Green Bean stir fry , love !",1
bean rice mediocre well .,0
good taco town far ! !,1
take money get outta .,0
"interesting town , place amazing .",1
RUDE & INCONSIDERATE MANAGEMENT .,0
"staff not friendly , wait time serve horrible , no say hi 10 minute .",0
will .,0
great dinner .,1
service outshine & definitely recommend Halibut .,1
food terrible .,0
never tell PEOPLE HAPPENED .,0
recommend car break starve .,0
come time Vegas .,1
place deserve star 90 % food .,0
disgrace .,0
Def come bowl time,1
"want healthy authentic ethic food , try place .",1
continue come lady night andddd date night ... highly recommend place area (;,1
"time past , experience great .",1
walk away stuff happy Vegas buffet experience .,1
service excellent price pretty reasonable consider Vegas locate inside Crystals shopping mall Aria .,1
"summarize ... food incredible , nay , transcendant ... but bring joy like memory pneumatic condiment dispenser .",1
probably people Ians not like .,0
kid pizza hit lot great dish option kiddo !,1
service perfect family atmosphere nice .,1
cook perfection service impeccable .,1
simply disappointment .,0
"overall , disappointed quality food Bouchon .",0
accountant know getting screw !,0
"great place eat , remind little mom pop shop San Francisco Bay Area .",1
today taste Buldogis Gourmet Hot Dog tell think possible .,1
leave frustrated .,0
definitely soon .,1
food good get petty fast .,1
Service fantastic .,1
total WASTE TIME .,0
know kind but good ice tea .,1
"come hungry , leave happy stuff !",1
"service , no star .",0
assure will disappoint .,1
little bad service but food suck .,0
give try eat crust ( tooth sore ) .,0
but completely gross .,0
enjoy eat .,1
time go but think quickly regular .,1
"server nice , look little overwhelmed need , stay professional friendly end .",1
dinner companion tell ... fresh nice texture taste .,1
"ground , right table large , smear , - step - - - track - pile green bird poop .",0
"furthermore , find hour operation website !",0
try like place but 10 + time think .,0
mistake !,0
no complaint !,1
seriously good pizza expert / connisseur topic .,1
Waiter jerk .,0
"strike 2 , want rush .",0
nice restaurant owner come .,1
never come .,0
love biscuit ! ! !,1
service quick friendly .,1
order appetizer take 40 minute pizza 10 minute .,0
absolutley fantastic .,1
huge awkward 1.5 lb piece cow 3/4ths gristle fat .,0
definitely come .,1
like steiner dark feel like bar .,1
wow spicy but delicious .,1
"not familiar , check .",1
business dinner dollar .,0
love .,1
", FS restaurant wonderful breakfast / lunch .",1
special .,0
day week different deal delicious !,1
"not mention combination pear , almond bacon big winner !",1
not .,0
Sauce tasteless .,0
"food delicious spicy , sure ask spicier prefer way .",1
ribeye steak cook perfectly great mesquite flavor .,1
think go anytime soon .,0
food gooodd .,1
far sushi connoisseur but definitely tell difference good food bad food certainly bad food .,0
insulted .,0
3 time lunch bad .,0
chicken wing contain driest chicken meat eat .,0
"food good enjoy mouthful , enjoyable relaxed venue couple small family group etc .",1
nargile - think great .,1
good tater tot southwest .,1
love place .,1
definitely not worth $ 3 pay .,0
vanilla ice cream creamy smooth profiterole ( choux ) pastry fresh .,1
m AZ time new spot .,1
manager bad .,0
inside nice clean .,1
food outstanding price reasonable .,1
think run Carly anytime soon food .,0
"fact take 20 minute acknowledge , 35 minute food ... keep forget thing .",0
"love margarita , !",1
only Vegas buffet not disappoint .,1
"good , !",1
note ventilation use upgrading .,0
great pork sandwich .,1
waste time .,0
"total letdown , Camelback Flower Shop Cartel Coffee .",0
", cheese friend burger cold .",0
enjoy pizza brunch .,1
steak trimmed perfectly cooked .,1
group 70 + claim only 40 handle beautifully .,1
love !,1
ask bill leave eat bring .,0
"place jewel Las Vegas , exactly hope find nearly year live .",1
Seafood limit boil shrimp crab leg but crab leg definitely not taste fresh .,0
selection food not good .,0
Delicious absolutely !,1
"small family restaurant , fine dining establishment .",1
toro tartare cavier extraordinary like thinly slice wagyu white truffle .,1
not think long time .,0
"attach gas station , rarely good sign .",0
awesome .,1
time soon .,1
menu good stuff not decide !,1
"bad , humiliate worker right .. Bunch horrible calling .",0
CONCLUSION : filling meal .,1
daily special hit group .,1
tragedy strike .,0
pancake good pretty large .,1
"crawfish experience , delicious !",1
monster chicken fry steak egg time favorite .,1
Waitress sweet funny .,1
"taste Mom multi - grain pumpkin pancake pecan butter amazing , fluffy , delicious !",1
"eat airline food , seriously .",0
not good thing place .,1
ambiance incredible .,1
waitress manager friendly .,1
not recommend place .,0
overall impressed Noca .,0
gyro basically lettuce only .,0
terrible service !,0
thoroughly disappointed !,0
"pasta , but love homemade /hand pasta thin pizza .",1
"try , happy .",1
far best cheesecurd !,1
reasonably price !,1
perfect night .,1
food good typical bar food .,1
drive .,0
"glance lovely bakery cafe - nice ambiance , clean , friendly staff .",1
", not think .",0
"point finger item menu , order will disappoint .",1
"oh thing beauty , restaurant .",1
go !,1
"greasy , unhealthy meal .",0
time .,0
burger amazing .,1
"similarly , delivery man not word apology food 45 minute late .",0
way expensive .,0
"sure order dessert , need pack - - tiramisu cannoli die .",1
time wait .,1
bartender nice .,1
good tasty !,1
place thumb .... way .,1
"good place Vegas breakfast ( check Sat , Sun .",1
"love authentic mexican food want bunch interesting , delicious meat choose , need try place .",1
terrible management .,0
excellent new restaurant experienced Frenchman .,1
zero star zero star .,0
"great steak , great side , great wine , amazing dessert .",1
bad martini !,0
steak shrimp opinion good entree GC .,1
opportunity today sample amazing pizza !,1
wait thirty minute seat ( 8 vacant table only folk wait ) .,0
yellowtail carpaccio melt mouth fresh .,1
will try go .,0
"no , go eat potato find stranger hair .",0
spicy .. perfect actually .,1
night second time dining happy decide !,1
"not "" hello , right . """,0
dessert bit strange .,0
boyfriend come time recent trip Vegas not pleased quality food service .,1
"recommend place , wrong donut place !",1
nice ambiance .,1
recommend save room !,1
guess maybe go night but disgraceful .,0
", recent experience particular location not good .",0
"know not like restaurant , !",0
avoid establishment !,0
think restaurant suffer not try hard .,0
tapas dish delicious !,1
* heart * place .,1
salad bland vinegrette baby green heart Palm .,0
feel disgusting .,0
good time !,1
believe place great stop huge belly hanker sushi .,1
generous portion great taste .,1
never place never recommend place !,0
"server go forth time , not "" help ? """,0
food delicious !,1
HOUR ... seriously ?,0
consider theft .,0
Eew ... location need complete overhaul .,0
recently witness poor quality management guest .,0
wait wait wait .,0
"come check regularly , excellent service .",1
server super nice check time .,1
"pizza taste old , super chewy not good way .",0
swing try but deeply disappointed .,0
service good company well !,1
staff friendly efficient .,1
"service : fan , quick serve nice folk .",1
boy sucker dry ! ! .,0
rate .,0
"look authentic Thai food , .",0
steak 100 % recommend !,1
pull car wait 15 minute acknowledge .,0
great food great service clean friendly setting .,1
", assure .",1
hate thing cheap quality black olive .,0
"breakfast perpare great , beautiful presentation 3 giant slice Toast , lightly dust powdered sugar .",1
kid play area NASTY !,0
great place fo eat .,1
waitress friendly happy accomodate vegan / veggie option .,1
omg feel like never eat thai food dish .,1
"extremely "" crumby "" pretty tasteless .",0
pale color instead nice char no flavor .,0
crouton taste homemade extra plus .,1
get home driest damn wing !,0
regular stop trip Phoenix !,1
enjoy Crema CafÃ © expand ; tell friend best breakfast .,1
not good money .,0
miss wish Philadelphia !,1
"get sit fairly fast , but , end wait 40 minute place order , 30 minute food arrive .",0
good cheese crisp town .,1
"good value , great food , great service .",1
ask satisfying meal .,1
food good .,1
awesome .,1
want leave .,0
drive way North Scottsdale ... not bit disappointed !,1
not eat .,0
! .... owner need quit soooooo cheap let wrap freaking sandwich paper not !,0
check place couple year ago not impressed .,0
"chicken get definitely reheat only ok , wedge cold soggy .",0
"sorry , not get food anytime soon :(",0
absolute visit !,1
cow tongue cheek taco amazing .,1
friend not like Bloody Mary .,0
"despite hard rate business , actually rare 1 star .",0
want experience good .,1
not return .,0
chicken Pho taste bland .,0
disappointing ! ! !,0
grilled chicken tender yellow saffron seasoning .,1
"drive mean not want wait half hour food , but end go wait wait .",0
pretty awesome place .,1
ambience perfect .,1
good luck rude non - customer service focus new management .,0
grandmother roasted chicken well .,0
ask multiple time wine list time ignore go hostess get .,0
"staff super friendly helpful , especially cool bring small boy baby !",1
star food & guy blue shirt great vibe & let eat !,1
roast beef sandwich taste good !,1
"evening , drastically sick .",0
high - quality chicken chicken Caesar salad .,1
order burger rare come .,0
promptly greet seat .,1
try lunch madhouse .,0
"prove dead wrong sushi bar , not only quality great , but service fast food , impeccable .",1
"wait hour seat , not great mood .",0
good joint .,1
macaron insanely good .,1
not eat !,0
"waiter attentive , friendly , informative .",1
maybe cold somewhat edible .,0
place lot promise but fail deliver .,0
bad experience !,0
mistake .,0
food average well .,0
great food .,1
will go anytime soon !,0
disappointed order $ 35 Big Bay Plater .,0
great place relax awesome burger beer .,1
perfect sit - family meal friend .,1
"not flavor , poorly construct .",0
patio seating comfortable .,1
fried rice dry .,0
hand favorite italian restaurant !,1
"SCREAMS "" LEGIT "" book ... somethat pretty rare Vegas .",1
not fun experience .,1
atmosphere great lovely duo violinist play song request .,1
"personally love hummus , pita , baklava , falafel Baba Ganoush ( amazing eggplant ! ) .",1
"convenient , stay MGM !",1
owner super friendly staff courteous .,1
great !,1
eclectic selection .,1
sweet potato tot good but onion ring perfection close .,1
staff attentive .,1
chef generous time ( come twice picture ) .,1
"owner work Nobu , place similar half price .",1
Google mediocre imagine Smashburger pop .,0
not .,0
promise will disappoint .,1
sushi lover avoid place mean .,0
great double cheeseburger !,1
awesome service food .,1
fantastic neighborhood gem ! ! !,1
wait .,1
plantain bad taste .,0
great place highly recommend .,1
Service slow not attentive .,0
"give 5 star , give 5 star .",1
staff spend time talk .,0
Dessert : Panna Cotta amazing .,1
"good food , great atmosphere.1",1
damn good steak .,1
total brunch fail .,0
"price reasonable , flavor spot , sauce home , slaw not drench mayo .",1
"decor nice , piano music soundtrack pleasant .",1
steak amazing ... rge fillet relleno good seafood plate !,1
"good food , good service .",1
absolutely amazing .,1
"probably will , honest .",0
definitely !,1
sergeant pepper beef sandwich auju sauce excellent sandwich .,1
"hawaiian Breeze , Mango Magic , Pineapple Delight smoothie try far good .",1
go lunch - service slow .,0
"place walk expect amazing , but quickly disappoint .",0
mortify .,0
"needless , never .",0
"anyways , food definitely not fill , price pay expect .",0
"chip come dripping grease , not edible .",0
impressed Strip Steak .,0
go 2007 meal awesome ! !,1
server nice attentive serve staff .,1
cashier friendly bring food .,1
work hospitality industry Paradise Valley refrain recommend Cibo long .,0
atmosphere fun .,1
not recommend .,0
"service quick "" "" order like like !",1
"mean , famous fish chip terrible ! ? !",0
"say , mouth belly pleased .",1
not thing .,0
2 thumb ! !,1
read .,0
"love grill pizza , remind legit italian pizza .",1
only pro : large seating area/ nice bar area/ great simple drink menu/ best brick oven pizza homemade dough !,1
nice atmosphere .,1
tonight Elk Filet special ... suck .,0
"bite , hook .",1
order old classic new dish go time sorely disappointed .,0
"cute , quaint , simple , honest .",1
chicken deliciously season perfect fry outside moist chicken inside .,1
"food great , compliment chef .",1
special thank Dylan T. recommendation order :) yummy tummy .,1
awesome selection beer .,1
great food awesome service !,1
"nice thing add gratuity bill party large 6 8 , expect tip .",1
FLY apple juice .. FLY ! ! ! ! ! ! ! !,0
Han Nan Chicken tasty .,1
"service , think good .",1
"food barely lukewarm , sit wait server bring .",0
Ryan Bar definitely Edinburgh establishment will revisit .,0
nicest chinese restaurant .,1
"overall , like food service .",1
serve indian naan bread hummus spicy pine nut sauce world .,1
"probably never come , recommend .",0
"Friend pasta -- bad , barely touch .",0
"try airport experience tasty food speedy , friendly service .",1
love decor chinese calligraphy wall paper .,1
never complain .,1
restaurant clean family restaurant feel .,1
way fry .,0
not sure long stand but long begin feel awkwardly place .,0
"open sandwich , impressed , but not good way .",0
not !,0
warm feeling service feel like guest special treat .,1
extensive menu provide lot option breakfast .,1
"order vegetarian menu dinner , wide array option choose .",1
"watch price inflate , portion small management attitude grow rapidly !",0
wonderful lil tapas ambience feel warm fuzzy inside .,1
"get enjoy seafood salad , fabulous vinegrette .",1
"wonton thin , not thick chewy , melt mouth .",1
"level 5 spicy perfect , spice - whelm soup .",1
sit right time server FANTASTIC !,1
"main thing enjoy crowd old crowd , mid 30 .",0
"town , definitely spot hit !",1
wait 30 minute drink long 2 arepa .,0
great place eat !,1
jalapeno bacon soooo good .,1
service poor s nice .,0
"food good , service good , price good .",1
place not clean food oh stale !,0
"chicken dish ok , beef like shoe leather .",0
but service bad .,0
"happy ! ! ! """,1
taste like dirt .,0
place Phoenix definately .,1
block amazing .,1
"close house , low - key , non - fancy , affordable price , good food .",1
* Hot & Sour & Egg Flower Soups absolutely 5 star !,1
sashimi poor quality soggy tasteless .,0
great time - family dinner Sunday night .,1
"food not tasty , not "" real traditional Hunan style "" .",0
"bother , slow service .",0
flair bartender absolutely amazing !,1
frozen margarita way sugary taste .,0
good order twice .,1
nutshell : 1 ) restaraunt smell like combination dirty fish market sewer .,0
girlfriend veal bad .,0
"unfortunately , not good .",0
pretty satifying experience .,1
join club awesome offer email .,1
"perfect ( ) only like beer ice cold , case , cold .",1
Bland flavorless good way describe barely tepid meat .,0
"chain , no fan , beat place easily .",0
nachos !,1
not come .,0
"word place , but pretty .",1
"staff super nice quick crazy crowd downtown jury , lawyer , court staff .",1
"great atmosphere , friendly fast service .",1
receive Pita huge lot meat thumb .,1
food arrive meh .,0
pay $ 7.85 hot dog fry look like come kid meal Wienerschnitzel not idea good meal .,0
classic Maine Lobster Roll fantastic .,1
"brother law work mall eat day , guess sick night .",0
good go review place twice - herea tribute place tribute event hold night .,1
"chip salsa good , salsa fresh .",1
place great ! ! ! ! ! ! ! ! ! ! ! ! ! !,1
mediocre food .,0
inside impressed place .,1
super pissd .,0
service super friendly .,1
sad little vegetable overcooked ?,0
place nice surprise !,1
golden - crispy delicious .,1
"high hope place burger cook charcoal grill , but unfortunately taste fall flat , way flat .",0
eat bruschetta day devine .,1
not single employee come ok need water refill finally serve food .,0
"lastly , mozzarella stick , good thing order .",1
"time come amazing experience , tell people awesome duck .",1
server negligent need feel unwelcome ... not suggest place !,0
service terrible .,0
"place overprice , not consistent boba , OVERPRICED !",0
pack ! !,0
love place .,1
dessert yummy .,1
food terrible .,0
seasonal fruit fresh white peach puree .,1
keep get bad bad officially .,0
place honestly blow .,0
but definitely not eat .,0
not waste money !,0
love food nice plastic container oppose cram little paper takeout box .,1
crãªpe delicate thin moist .,1
awful service .,0
will .,0
food quality horrible .,0
price think place go .,0
service fair well .,0
"love sushi , but find Kabuki - price , - hip - service .",0
favor stay away dish .,0
poor service .,0
no table think food average worth wait .,0
"good service food , Maria server good friendly day .",1
excellent .,1
pay bill but not tip feel server terrible job .,0
lunch great experience .,1
never bland food surprise consider article read focus spice flavor .,0
food way overprice portion fucking small .,0
recently try Caballero week !,1
"40 buck head , expect well food .",0
food come good pace .,1
"eat twice visit , especially enjoy salmon salad .",1
will .,0
not believe dirty oyster !,0
place deserve no star .,0
not recommend place .,0
"fact go round 4 star , awesome .",1
"disbelief , dish qualify bad version food taste .",0
"bad day not , low tolerance rude customer service people , job nice polite , wash dish ! !",0
potato great biscuit .,1
probably not .,0
flavorful perfect heat .,1
price reasonable service great .,1
"Wife hate meal ( coconut shrimp ) , friend not enjoy meal , .",0
fella get huevos ranchero look appealing .,0
"go happy hour , great list wine .",1
buffet pricey but think pay place get lot !,1
probably will come .,0
bad food / service .,0
"place pretty good , nice little vibe restaurant .",1
talk great customer service course .,1
"hot dish not hot , cold dish close room temp . watch staff prepare food BARE hand , no glove . deep fry oil .",0
love fry bean .,1
pleasure deal .,1
"plethora salad sandwich , try get seal approval .",1
place awesome want light healthy summer .,1
"sushi Strip , place .",1
"service great , manager come help table .",1
feel dining room college cooking course high class dining service slow well .,0
"start review star , but edit only .",0
bad sushi eat Costco .,0
"excellent restaurant highlight great service , unique menu , beautiful setting .",1
boyfriend sit bar completely delightful experience .,1
weird vibe owner .,0
hardly meat .,0
well bagel grocery store .,0
Place Gyros .,1
"love owner / chef , authentic japanese cool dude !",1
"burger good , pizza amazing doughy flavorless .",0
find inch long piece wire salsa .,0
"service terrible , food mediocre .",0
definately enjoy .,1
order Albondigas soup - warm - taste like tomato soup frozen meatball .,0
"different occasion ask medium , time get bloody piece meat plate .",0
bite refuse eat anymore .,0
service extremely slow .,0
"20 minute wait , get table .",0
